tx_hash,chain,from_address,to_address,block_number,timestamp,amount,token_symbol,token_address,gas_fee,tx_type,risk_score,is_suspected,attributes
0x37eda339bed1b7de50dac78a4254729e9e04af27e01933f2d1f0fb48f7ee0f7a,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x170fdf119d849d18bedd6054429a38a31830490e,,,24413829.960583713,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0xe861af3e87fff74d8c287e469a2eb62c1161a4c54d4b5f6ee11cb4585a8010d1,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x170fdf119d849d18bedd6054429a38a31830490e,,,0.00897,ETH,,,TRANSFER,90.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0x1033da21aa12b9a6a1f5fc31a656c347c9b027f4c2c09d9332965654076d0c38,ETHEREUM,0x97cd878d295e3d20f663a39bde895b519e1af750,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,,,7500.0,ETH,,,TRANSFER,90.0,true,"{""from_name"": """", ""to_name"": ""Kucoin hacker"", ""is_mixing_related"": false}"
0x752f2cf3a59f96e5376efdefbd878d7914007dc8325c8a10163202f91830e2cc,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x58b891a5f94e65f225549acef13a9dc3a33b1942,,,2.0,ETH,,,TRANSFER,90.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0x68b43c9e2748edd477fdf145435548feef6f87641dabb13f8705985b6c27680d,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x34a17418cec67b82d08cf77a987941f99dc87c6b,,,11499.999999999998,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0x85dfaf7c492d05875e1452b83cde057499b829a1b8fabbd4a3db8b4fed25da83,ETHEREUM,0x34a17418cec67b82d08cf77a987941f99dc87c6b,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,,,8.857285788,ETH,,,TRANSFER,90.0,true,"{""from_name"": """", ""to_name"": ""Kucoin hacker"", ""is_mixing_related"": false}"
0xbe320cc6fd2a7c15878b62ccea209c647c41e0da0ebb748544f474263784e283,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x34a17418cec67b82d08cf77a987941f99dc87c6b,,,20.0,ETH,,,TRANSFER,90.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0x087061a0e062bd436be8f3b08cac795725637c897c858f8f0df7ca9fee81d8ff,ETHEREUM,0x2b5634c42055806a59e9107ed44d43c426e58258,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,,,4806708.454657,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin"", ""to_name"": ""Kucoin hacker"", ""is_mixing_related"": false}"
0x686885d62031ac3f8d4def9070b9dffaee74fc458808bc796c714e7409a90b38,ETHEREUM,0x2b5634c42055806a59e9107ed44d43c426e58258,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,,,5299156.513773248,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin"", ""to_name"": ""Kucoin hacker"", ""is_mixing_related"": false}"
0x6a99fc55957c4baf686f5000109b54f75c0cab46929f15ebcd7ed23ad894a756,ETHEREUM,0x2b5634c42055806a59e9107ed44d43c426e58258,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,,,186.5978581838314,ETH,,,TRANSFER,90.0,true,"{""from_name"": ""Kucoin"", ""to_name"": ""Kucoin hacker"", ""is_mixing_related"": false}"
0xd24ba0e4f9ee4cc3379c975e76405832872874aa7c197e3693abece862aa13d3,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0xc6f928cf9431b82c8c9a10fe954df44e66cbed1c,,,5.0,ETH,,,TRANSFER,90.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0xc6eb6440d4f2c8b649ee7e647e90ea3a354e0bb300540c95d2464553f6b6cff8,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0xc6f928cf9431b82c8c9a10fe954df44e66cbed1c,,,50000.0,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0xed4fbf571edbd1e51066148b29220e14163c69e20be72a1b26cd8bd51685b784,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0xc6f928cf9431b82c8c9a10fe954df44e66cbed1c,,,1.0,ETH,,,TRANSFER,90.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0x8b287ca8a197d75073aa2ea4e5a6c2dfe4e8218a39f77b199b70161eeca0311f,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0xc6f928cf9431b82c8c9a10fe954df44e66cbed1c,,,10000.0,ETH,,,TRANSFER,90.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0x12d074dac01d3608ce90eee15159c9893fa078ace1cdd763ed72b0ce0cb33dab,ETHEREUM,0x689c56aef474df92d44a1b70850f808488f9769c,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,,,45456.038075,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin"", ""to_name"": ""Kucoin hacker"", ""is_mixing_related"": false}"
0x7b93d2f74f7c1a199c1e175940e6dd285f5276eb3cc7caec22d9fd82eed5e620,ETHEREUM,0x689c56aef474df92d44a1b70850f808488f9769c,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,,,18493055.10127126,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin"", ""to_name"": ""Kucoin hacker"", ""is_mixing_related"": false}"
0xe274da017b57391290600b157004496c8098dc45b5400ccd2830a739f0c132d9,ETHEREUM,0x689c56aef474df92d44a1b70850f808488f9769c,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,,,13888191.449572,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin"", ""to_name"": ""Kucoin hacker"", ""is_mixing_related"": false}"
0x02bcb11691a2ce8f1e8ca4f3f943bdea2308a89308ca42bc67dea4bcb5de1413,ETHEREUM,0x689c56aef474df92d44a1b70850f808488f9769c,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,,,1994.2095006117088,ETH,,,TRANSFER,90.0,true,"{""from_name"": ""Kucoin"", ""to_name"": ""Kucoin hacker"", ""is_mixing_related"": false}"
0x49b0d0a2ddc659c60ddaa364a4aba46ceae60bb696f12a730633a8d0ba4f5def,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x1c3f856719a91735ccb78506bd504b17907ac814,,,8.0,ETH,,,TRANSFER,90.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0x21c69780f9fe3eed5a7785ee070647cf319de9b01ee65def4e4431b32cb9f138,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x1c3f856719a91735ccb78506bd504b17907ac814,,,268395.4463,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0xb2fdd14961be6d71a96c6c830f47b2e9c125d60f61a00817f53a95563b509921,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x1c3f856719a91735ccb78506bd504b17907ac814,,,199999.99999999997,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0xb07ece7d9c9dddf8f5955d19f005c2ed83af9f23d990df8641a36a2e57c798be,ETHEREUM,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x1c3f856719a91735ccb78506bd504b17907ac814,,,99999.99999999999,ETH,,,TRANSFER,100.0,true,"{""from_name"": ""Kucoin hacker"", ""to_name"": """", ""is_mixing_related"": false}"
0x1dc28ba34ca924dadf637ca570c061d137db87395073af304867004d98f3c448,ETHEREUM,0x261985b27a12272ad96b21885fe89a1538cbe91c,0xf519e276958c3ef2dffd9b6b2d87d26859526505,,,896.0,ETH,,,TRANSFER,20.0,false,"{""from_name"": """", ""to_name"": """", ""is_mixing_related"": false}"
0x142b28207d29cb5296a3d94bf888018d591868c32ec67834ea948156f0d68d2c,ETHEREUM,0x261985b27a12272ad96b21885fe89a1538cbe91c,0xf519e276958c3ef2dffd9b6b2d87d26859526505,,,910.0,ETH,,,TRANSFER,20.0,false,"{""from_name"": """", ""to_name"": """", ""is_mixing_related"": false}"
