address,chain,risk_score,is_fraud,balance,tx_count_in,tx_count_out,entity_cluster_id,first_seen,last_seen,additional_attributes
0x15360ac6dea7ba1e1696ee4e672564db352e205e,ETHEREUM,20.0,false,-2478.409645,352,340,,,,"{""name"": null, ""is_contract"": false}"
0x170fdf119d849d18bedd6054429a38a31830490e,ETHEREUM,50.0,false,24413829.969554,7,7,,,,"{""name"": null, ""is_contract"": false}"
0x18eb5d2f87c73944586b19b0ec3df0868b56b62b,ETHEREUM,20.0,false,19.32,31,16,,,,"{""name"": null, ""is_contract"": false}"
0x1a98fcebebfea4ffbd0d5bf5e4650d71344f52ab,ETHEREUM,30.0,false,-603.459049,69,120,,,,"{""name"": null, ""is_contract"": false}"
0x1c3f856719a91735ccb78506bd504b17907ac814,ETHEREUM,50.0,false,568402.47618,12,23,,,,"{""name"": null, ""is_contract"": false}"
0x261985b27a12272ad96b21885fe89a1538cbe91c,ETHEREUM,50.0,false,-3689.924824,52,43,,,,"{""name"": null, ""is_contract"": false}"
0x2b5634c42055806a59e9107ed44d43c426e58258,ETHEREUM,10.0,false,-10106051.566288,631565,2342239,cluster_kucoin,,,"{""name"": ""Kucoin"", ""is_contract"": false}"
0x34a17418cec67b82d08cf77a987941f99dc87c6b,ETHEREUM,80.0,true,10911.142714,66,171,,,,"{""name"": null, ""is_contract"": false}"
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,ETHEREUM,10.0,false,788.628595,16816058,7713579,cluster_binance,,,"{""name"": ""Binance"", ""is_contract"": false}"
0x4da92caa322ad0a6c6050fdf8ab13eeda7205fa0,ETHEREUM,20.0,false,20.0,24,3,,,,"{""name"": null, ""is_contract"": false}"
0x54459d826a727393134c929ad1f4bc1e16f6f021,ETHEREUM,30.0,false,137.473309,70,136,,,,"{""name"": null, ""is_contract"": false}"
0x58b891a5f94e65f225549acef13a9dc3a33b1942,ETHEREUM,50.0,false,2.0,1,2,,,,"{""name"": null, ""is_contract"": false}"
0x689c56aef474df92d44a1b70850f808488f9769c,ETHEREUM,10.0,false,-32428696.798419,1887705,99962,cluster_kucoin,,,"{""name"": ""Kucoin"", ""is_contract"": false}"
0x70122d709484c267b07c3073f95adc57e7adbd79,ETHEREUM,20.0,false,20.208,14,16,,,,"{""name"": null, ""is_contract"": false}"
0x7374b5d31beda7acedf5dd379ed864b0d63afe1b,ETHEREUM,20.0,false,-564.706495,68,24,,,,"{""name"": null, ""is_contract"": false}"
0x838a9fa807b237a6e0e4a08f1f4a07346d457648,ETHEREUM,20.0,false,66.069,74,37,,,,"{""name"": null, ""is_contract"": false}"
0x8a6fe380ee2b274b0e01c5c89e9861cebe040745,ETHEREUM,20.0,false,2332.7521,4,91,,,,"{""name"": null, ""is_contract"": false}"
0x9e9d9fd65edd1f9ad0d7e86d7dcfe6da0de2ae6b,ETHEREUM,20.0,false,-0.82988,18,16,,,,"{""name"": null, ""is_contract"": false}"
0xa160cdab225685da1d56aa342ad8841c3b53f291,ETHEREUM,85.0,true,1400.0,43825,71374,cluster_tornado,,,"{""name"": ""Tornado.Cash: 100 ETH"", ""is_contract"": true}"
0xaea0926fcb9a83745e9710d6e8ce26c1da7a0ab1,ETHEREUM,20.0,false,0.8,159,157,,,,"{""name"": null, ""is_contract"": false}"
0xba3271bf528ca6d63b048ff3388eb6550616ed88,ETHEREUM,20.0,false,-3.997711,3,3,,,,"{""name"": null, ""is_contract"": false}"
0xbe5e1ba665d397d5304f0f546cead0a1e44f242d,ETHEREUM,30.0,false,-187.604707,48,117,,,,"{""name"": null, ""is_contract"": false}"
0xc6f928cf9431b82c8c9a10fe954df44e66cbed1c,ETHEREUM,50.0,false,60006.0,11,4,,,,"{""name"": null, ""is_contract"": false}"
0xc787eeba9f55933ffb4c37a0284029c24444bbd4,ETHEREUM,20.0,false,63.015,9,22,,,,"{""name"": null, ""is_contract"": false}"
0xcfe0aa9fd67102905c175f4ca04cbfb58c28427e,ETHEREUM,20.0,false,-127.0501,7,12,,,,"{""name"": null, ""is_contract"": false}"
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,ETHEREUM,95.0,true,17488485.806139,909,163,cluster_kucoin,,,"{""name"": ""Kucoin hacker"", ""is_contract"": false}"
0xf519e276958c3ef2dffd9b6b2d87d26859526505,ETHEREUM,30.0,false,3418.686526,41,98,,,,"{""name"": null, ""is_contract"": false}"
0x97cd878d295e3d20f663a39bde895b519e1af750,ETHEREUM,50.0,false,-7500.0,168,32075,,,,"{""name"": null, ""is_contract"": true}"
