Transaction Hash,Status,Type,Method,Block,Age,From,From_NameTag,From_Note,To,To_NameTag,To_Note,Amount,Value (USD),Asset,Txn Fee
0x5480a4ca1dc93bec4591b496191cbd0add7d5dba008e802575ed7d676ed3b024,Success,ERC-20,transfer,24004649,2025-12-13T15:42:59.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0xD2D9c936165a85F27a5a7e07aFb974D022B89463,NttManagerWithExecutor,,0.000447653853916627,$1.39,Ethereum(ETH),1.084036232955e-05
0x3f07f08ce6dd469bde4503340f1b21f49eb114022eacfaf31645d757a66405e9,Success,ERC-20,sendFrom,24004952,2025-12-13T16:43:47.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0xc31813C38b32C0f826c2dbF3360d5899740c9669,ProxyOFTWithFee,,0.000311456815107243,$0.97,Ethereum(ETH),3.547647472164e-05
0xfb8e22c530e32113b45df710c5119dfc8a2c983d52119ac9fbcfded474efb856,Success,ERC-20,send,24003128,2025-12-13T10:36:35.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x17205fab260a7a6383a81452cE6315A39370Db97,RaveToken,,2.3328713225868e-05,$0.07,Ethereum(ETH),4.2473326555842e-05
0xf359ff864f521c1c128795239110e903dd5cbe24086d9e33c5948b7b6702b6f2,Success,ERC-20,send,24004370,2025-12-13T14:46:47.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x17205fab260a7a6383a81452cE6315A39370Db97,RaveToken,,2.3328713225868e-05,$0.07,Ethereum(ETH),3.7236700753006e-05
0xf94909d3698cbf3df8ac35c363db02fbfb3af388889b13645e0d0b601e0239f1,Success,ERC-20,sendFrom,24003728,2025-12-13T12:37:11.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x943Af2ece93118B973c95c2F698EE9D15002e604,Gamegptofficial: DUEL Token,,0.00033987996473419,$1.05,Ethereum(ETH),3.0275786907729e-05
0x8a21fc360a15b8893addec90cc398ce3b12c56c646afe3e02e2dc73396ddee8e,Success,ERC-20,transferTo,24004510,2025-12-13T15:15:11.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x00C11D18871c93B375Dae1B781Da0949282f566E,ControllerWrapper,,5e-06,$0.02,Ethereum(ETH),1.3457500605768e-05
0xd6534240643553dc315ffccde4646aa8dc56a07c04d5be9ca43496e9b6e363d8,Success,ERC-20,depositERC20,24003383,2025-12-13T11:27:47.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x1A36E24D61BC1aDa68C21C2Da1aD53EaB8E03e55,Lib_ResolvedDelegateProxy,,0.000310725710203093,$0.96,Ethereum(ETH),4.0294057400382e-05
0x97070e76093a6edc6c2fb4806fe685e5514af544a1e11ae735116e8665024276,Success,ERC-20,0xcb78f17d,24005298,2025-12-13T17:53:35.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0xD02c8a355599FEe7e4F1d1d71f7A01c0108E353c,,,0.000622988957592903,$1.94,Ethereum(ETH),1.9485471826304e-05
0xe778f0be79d7c9a968ae8909026ec84fc12e14bf9f5a0eac62ee1cd8c7abb5bd,Success,ERC-20,send,24004408,2025-12-13T14:54:35.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x1DB1591540d7A6062Be0837ca3C808aDd28844F6,OrigamiHOhmVault,,6.780399450526e-06,$0.02,Ethereum(ETH),4.5077765113395e-05
0x29284ed5478b70d6f781b9e8ed783a285720d2ca75f896035012142e94bbdf52,Success,ERC-20,fundAndRunMulticall,24004827,2025-12-13T16:18:35.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0xce16F69375520ab01377ce7B88f5BA8C48F8D666,Squid Router Proxy,,2.1416170679065e-05,$0.07,Ethereum(ETH),2.9864208916712e-05
0x54a2bb78ce3497f985f44536682be6b5785504de887052de86c3215918dac6cb,Success,ERC-20,0xcb78f17d,24003912,2025-12-13T13:14:11.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0xD02c8a355599FEe7e4F1d1d71f7A01c0108E353c,,,0.000618479021540239,$1.92,Ethereum(ETH),2.1995981150409e-05
0x61d44e94c1b29d56cf792a9d196e03704b5f3a85790a933e1fabe1a4c3ec9a68,Success,ERC-20,send,24004537,2025-12-13T15:20:35.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x17205fab260a7a6383a81452cE6315A39370Db97,RaveToken,,2.3328713225868e-05,$0.07,Ethereum(ETH),3.778414798712e-05
0x9f7133fcc5e9d728ac72f82b65df965dbabc5dd21b149a600d6a5ec311ea248c,Success,ERC-20,send,24003977,2025-12-13T13:27:11.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x17205fab260a7a6383a81452cE6315A39370Db97,RaveToken,,2.3328713225868e-05,$0.07,Ethereum(ETH),3.6771794610498e-05
0x413aa186fc8b1fda2d1fd7f73e9d8d77480cb2398f39be892a78f44aa4ea9f92,Success,ERC-20,send,24003617,2025-12-13T12:14:59.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x17205fab260a7a6383a81452cE6315A39370Db97,RaveToken,,2.3328713225868e-05,$0.07,Ethereum(ETH),3.9954111936132e-05
0x7369bd1578d565f3fc594480129806fa69a4adca442c532f8713167580d8d6f3,Success,ERC-20,interchainTransfer,24004703,2025-12-13T15:53:47.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,Interchain Token Service,[info],4.58722e-05,$0.14,Ethereum(ETH),1.7855443488025e-05
0xb3d2f621dd3798cb4d10f8610fe36755a24ff4479b2809b48eef3afcfb8f7ad6,Success,ERC-20,sendFrom,24004302,2025-12-13T14:33:11.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0xc31813C38b32C0f826c2dbF3360d5899740c9669,ProxyOFTWithFee,,0.000306119065179588,$0.95,Ethereum(ETH),3.4020146457408e-05
0x6a61952df4fb0cff1190d4916b84d715295a5e431280e34b68767ae4a3bcefbe,Success,ERC-20,0xcb78f17d,24004589,2025-12-13T15:30:59.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0xD02c8a355599FEe7e4F1d1d71f7A01c0108E353c,,,0.000621070020625435,$1.93,Ethereum(ETH),2.066952254732e-05
0x9629ea3cd0e4c7f16383c6e65b4c1cd5c40678d20e7aeddbf63a8c977ac1dc52,Success,ERC-20,send,24004097,2025-12-13T13:52:11.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x17205fab260a7a6383a81452cE6315A39370Db97,RaveToken,,2.3328713225868e-05,$0.07,Ethereum(ETH),3.6751824558178e-05
0xdb122a9120dfc0da360592e22df17e69d66a934dcb27ae9ba4778bd118b9db63,Success,ERC-20,send,24002772,2025-12-13T09:24:47.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x17205fab260a7a6383a81452cE6315A39370Db97,RaveToken,,5.1954329621546e-05,$0.16,Ethereum(ETH),4.4873809027465e-05
0x429d9e415c8e7a32355fdef320df4a33e5ef4267cd7d9b329f550169b35822cc,Success,ERC-20,send,24004386,2025-12-13T14:50:11.000000Z,0xAc18D21721d4702Fce58Ae775ED9C1bd18FAAC88,,,0x17205fab260a7a6383a81452cE6315A39370Db97,RaveToken,,2.3328713225868e-05,$0.07,Ethereum(ETH),3.7022709633618e-05
