Transaction Hash,Status,Type,Method,Block,Age,From,From_NameTag,From_Note,To,To_NameTag,To_Note,Amount,Value (USD),Asset,Txn Fee
0x722eae300d3c817bbfc8020971ec392e199fecc3880bbbe7da01ddb8d8739a07,Success,Tx,,21909442,2025-02-23T13:52:23.000000Z,0xF8B81795361Ecb65c8Ef557f4ECEf9391A6378B6,,,0xFc926659Dd8808f6e3e0a8d61B20B871F3Fa6465,Bybit exploit 21Feb2025,[warning],1.00E-06,$0.00 ,Ethereum(ETH),2.12E-05
0x5f9f796afad8befbe6c00a2327796d91b43590824e8064203d333da7afbcf919,Success,Tx,,21957332,2025-03-02T06:16:35.000000Z,0x9eF42873Ae015AA3da0c4354AeF94a18D2B3407b,Bybit exploit 21Feb2025,[warning],0xa75D8E3a6cC1e8dE1671712df85Fc2166f87B13E,,,91.23221667,"$283,039.74 ",Ethereum(ETH),2.26E-05
0xf607fe978ffb76ea66793a36dbb401e1b521772a1844e918be1522aebcb7c50d,Success,Tx,,21917112,2025-02-24T15:35:23.000000Z,0x83Ef5E80faD88288F770152875Ab0bb16641a09E,Bybit exploit 21Feb2025,[warning],0x5E94D75fa56351F84BbBcC25b88Bd312B4656043,,,37.84218642,"$117,247.20 ",Ethereum(ETH),0.000128194
0x043bd7f1e561811c7b6437267f657b545a1fd84dd7ba46812f4e4dbb04559201,Success,Tx,,21933398,2025-02-26T22:09:11.000000Z,0x140c9Ab92347734641b1A7c124ffDeE58c20C3E3,Bybit exploit 21Feb2025,[warning],0x29630B73a1E132348a3c1aE6d9f303609d25e9c9,,,222.4360481,"$690,087.82 ",Ethereum(ETH),5.71E-05
0x23b8029b0e590d2819795b2ea8678e00facb4991ecc6834b6dacde9d3f6a23d7,Success,Tx,,21938387,2025-02-27T14:51:35.000000Z,0x959c4CA19c4532C97A657D82d97acCBAb70e6fb4,Bybit exploit 21Feb2025,[warning],0x7E8fa709bbDeAaA22eb5554DCf82E6cB014e42b4,,,115.1754616,"$357,321.50 ",Ethereum(ETH),3.16E-05
0xa317ab3fc499d0daf17042bada8aa9a5d99948bf88e7510bfffbac4f62b04907,Success,Tx,,21914676,2025-02-24T07:24:47.000000Z,0x21E28f763cf7faEc661807C5fBBE9e9D720Ded2b,,,0x96244D83DC15d36847C35209bBDc5bdDE9bEc3D8,Bybit exploit 21Feb2025,[warning],1.00E-06,$0.00 ,Ethereum(ETH),1.43E-05
0x13afa857c0c456a51cf4843efb18d5ede529efa9ee8098b8be949bc5f248ad63,Success,Tx,,21954494,2025-03-01T20:45:35.000000Z,0x3bdb9a657e6DEb6A53795B6ddbf127359c9F5724,,,0x9271EDdda0F0f2bB7b1A0c712bdF8dbD0A38d1Ab,Bybit exploit 21Feb2025,[warning],1.00E-06,$0.00 ,Ethereum(ETH),1.62E-05
0xe53cba9a0f1e7a6fbb56ab0b9e4f0ea638e14bed4bb2055dd1564f4ee37f9251,Success,Tx,,21938981,2025-02-27T16:51:11.000000Z,0x0e8C1E2881F35Ef20343264862A242FB749d6b35,Bybit exploit 21Feb2025,[warning],0x269f593b28665d7b63E364b1668593ec8409207D,,,281.6397453,"$872,610.06 ",Ethereum(ETH),2.92E-05
0x7d78dbe539d776105b4cd9f8c4dcbb827c57ede163bffee3a8d0d357493da584,Success,Tx,,21908033,2025-02-23T09:08:47.000000Z,0xB0c98f6573047182CE23866564Ac02688A94BEEB,,,0xfa3FcCCB897079fD83bfBA690E7D47Eb402d6c49,Bybit exploit 21Feb2025,[warning],1.00E-06,$0.00 ,Ethereum(ETH),1.62E-05
0xc9296b03450f27286687b36fd2b647d91020db520c5b15f876d3110debd7fb1f,Success,Tx,,21936930,2025-02-27T09:59:35.000000Z,0xf0a16603289eAF35F64077Ba3681af41194a1c09,Bybit exploit 21Feb2025,[warning],0x1f9B4D915a6d2c65251D72522F297904bf6887Ce,,,4.851572402,"$15,051.57 ",Ethereum(ETH),2.43E-05
